



name                                 #n       tsub       ttot       tavg
..kg_resources.py.VersionConflict:14 1        0.000002   0.000002   0.000002   
..s/pkg_resources.py.UnknownExtra:15 1        0.000002   0.000002   0.000002   
..kg_resources.py.ResolutionError:14 1        0.000002   0.000002   0.000002   
..s/errors.py.DistutilsModuleError:1 1        0.000002   0.000002   0.000002   
..kages/pkg_resources.py.__init__:85 1        0.000002   0.000002   0.000002   
..OJECT/events.py.getControlState:11 1        0.000002   0.000002   0.000002   
..ls/errors.py.DistutilsClassError:2 1        0.000001   0.000001   0.000001   
..ib/python2.6/pkgutil.py._reopen:24 1        0.000001   0.000001   0.000001   
...6/distutils/errors.py.LinkError:9 1        0.000001   0.000001   0.000001   
..errors.py.DistutilsTemplateError:7 1        0.000001   0.000001   0.000001   
../NANHOU-PROJECT/level.py.runLevel: 1        0.000000   0.000000   0.000000   
./main.py.quitHandler:19             1        0.000000   0.000000   0.000000   
..ython2.6/sre_compile.py._compile:3 85       0.000000   0.000000   0.000000   
..-PROJECT/engine.py.sleepSeconds:25 1        0.000000   0.000000   0.000000   
..resources.py.declare_namespace:176 2        0.000000   0.000000   0.000000   
..OU-PROJECT/events.py.eventCycle:11 1        0.000000   0.000000   0.000000   
..dist-packages/yappi.py.get_stats:5 1        0.000000   0.000000   0.000000   
..U-PROJECT/engine.py.sleepFrames:25 1        0.000000   0.000000   0.000000   


name           tid    fname                                scnt     ttot
Thread         -127.. ..lib/python2.6/threading.py._note:6 4737     38.879015  
_MainThread    -122.. ..t/NANHOU-PROJECT/main.py.tsprint:1 4682     10.094929  
Thread         -126.. ..dist-packages/yappi.py.get_stats:5 1303     9.043903   


status     tstart                     fcnt     tcnt     mem(bytes)
running    Thu Sep 22 13:41:58 2011   390      3        104556   




name                                 #n       tsub       ttot       tavg
..OU-PROJECT/engine.py.engineLoop:14 350      0.160804   5.395352   0.015415   
..ANHOU-PROJECT/engine.py._synched:3 352      0.000000   5.340844   0.015173   
..t/NANHOU-PROJECT/engine.py.draw:20 350      0.024551   4.557178   0.013021   
..NHOU-PROJECT/engine.py.drawList:27 1750     0.643902   3.903457   0.002231   
..kages/pygame/pkgdata.py.<module>:1 1        0.022074   0.998954   0.998954   
..ckages/pkg_resources.py.<module>:1 1        0.019002   0.976880   0.976880   
..ages/pkg_resources.py.subscribe:66 1        0.000285   0.584818   0.584818   
..ages/pkg_resources.py.<lambda>:269 54       0.000287   0.584264   0.010820   
..ages/pkg_resources.py.activate:218 54       0.000998   0.583977   0.010814   
..ges/pkg_resources.py.insert_on:228 54       0.002025   0.520620   0.009641   
..rces.py.check_version_conflict:233 54       0.001158   0.513013   0.009500   
../python2.6/genericpath.py.exists:1 131      0.001615   0.504745   0.003853   
..pkg_resources.py._get_metadata:218 187      0.002292   0.494561   0.002645   
../pkg_resources.py.has_metadata:115 45       0.000437   0.476897   0.010598   
..packages/pkg_resources.py._has:126 46       0.000436   0.475286   0.010332   
..OU-PROJECT/collision.py.disjoint:3 350      0.147186   0.357587   0.001022   
..ages/pkg_resources.py.add_entry:40 26       0.001032   0.282648   0.010871   
../pkg_resources.py.find_on_path:168 134      0.010500   0.272770   0.002036   
..kages/pkg_resources.py.__init__:39 1        0.000054   0.262314   0.262314   
..b/python2.6/genericpath.py.isdir:3 134      0.001078   0.230901   0.001723   
../EntityTypes.py.getCurrentSprite:5 14403    0.071556   0.215758   0.000015   
..OJECT/EntityTypes.py.isCollision:6 53973    0.210113   0.210113   0.000004   
..ECT/animation.py.getCurrentImage:7 14403    0.094285   0.144202   0.000010   
..OU-PROJECT/EntityTypes.py.update:4 14403    0.083581   0.117564   0.000008   
..NHOU-PROJECT/EntityTypes.py.move:3 14402    0.098172   0.098172   0.000007   
..OU-PROJECT/animation.py.__init__:5 100      0.002063   0.070133   0.000701   
..OU-PROJECT/animation.py.__init__:3 500      0.003763   0.068070   0.000136   
..PROJECT/animation.py.getAnimation: 500      0.001696   0.063490   0.000127   
..OU-PROJECT/animation.py.__init__:2 10       0.000097   0.061794   0.006179   
..-PROJECT/animation.py.loadImages:9 10       0.001678   0.061678   0.006168   
..es/pkg_resources.py.Environment:68 1        0.000016   0.059600   0.059600   
..ources.py.get_supported_platform:6 1        0.000012   0.059584   0.059584   
..resources.py.get_build_platform:20 1        0.045247   0.059565   0.059565   
..es/pkg_resources.py._handle_ns:174 61       0.000920   0.057653   0.000945   
..NANHOU-PROJECT/level.py.__init__:5 25       0.000391   0.051308   0.002052   
..python2.6/posixpath.py.realpath:35 128      0.006859   0.044306   0.000346   
..animation.py.getDirectionPrefix:12 14503    0.032389   0.032389   0.000002   
..ython2.6/pkgutil.py.load_module:23 1        0.000014   0.028209   0.028209   
..HOU-PROJECT/engine.py.isExpired:29 14478    0.028175   0.028175   0.000002   
..NANHOU-PROJECT/animation.py.next:4 7154     0.027452   0.027452   0.000004   
..sr/lib/python2.6/re.py._compile:22 226      0.001493   0.025527   0.000113   
../NANHOU-PROJECT/level.py.release:6 25       0.000585   0.024617   0.000985   
..ython2.6/pkgutil.py.find_module:17 60       0.001240   0.024503   0.000408   
..kg_resources.py.normalize_path:182 68       0.000636   0.024366   0.000358   
..es.py.fixup_namespace_packages:179 54       0.000871   0.024360   0.000451   
..NANHOU-PROJECT/level.py.__init__:6 75       0.000826   0.023949   0.000319   
..ython2.6/sre_compile.py.compile:50 13       0.000273   0.023341   0.001795   
..sr/lib/python2.6/re.py.compile:188 12       0.000057   0.023072   0.001923   
..-PROJECT/events.py.handleEvents:12 673      0.005528   0.022792   0.000034   
..HOU-PROJECT/animation.py.current:4 7249     0.022465   0.022465   0.000003   
../lib/python2.6/posixpath.py.join:5 803      0.010901   0.017713   0.000022   
ttot       tavg
..OU-PROJECT/engine.py.engineLoop:14 350      0.160804   5.395352   0.015415   
..ANHOU-PROJECT/engine.py._synched:3 352      0.000000   5.340844   0.015173   
..t/NANHOU-PROJECT/engine.py.draw:20 350      0.024551   4.557178   0.013021   
..NHOU-PROJECT/engine.py.drawList:27 1750     0.643902   3.903457   0.002231   
..kages/pygame/pkgdata.py.<module>:1 1        0.022074   0.998954   0.998954   
..ckages/pkg_resources.py.<module>:1 1        0.019002   0.976880   0.976880   
..ages/pkg_resources.py.subscribe:66 1        0.000285   0.584818   0.584818   
..ages/pkg_resources.py.<lambda>:269 54       0.000287   0.584264   0.010820   
..ages/pkg_resources.py.activate:218 54       0.000998   0.583977   0.010814   
..ges/pkg_resources.py.insert_on:228 54       0.002025   0.520620   0.009641   
